order_id,user_id,order_date,order_status,pay_amount,order_month
o300074,u111312,2023-12-13,completed,2201.13,2023-12
o300075,u115233,2023-06-30,completed,2155.43,2023-06
o300076,u108591,2024-05-22,completed,1889.51,2024-05
o300077,u111356,2024-09-02,pending,8590.43,2024-09
o300078,u101291,2024-01-11,shipped,3683.47,2024-01
o300079,u108769,2023-02-13,completed,497.69,2023-02
o300080,u103131,2024-08-11,completed,1762.36,2024-08
o300081,u108924,2024-08-12,completed,274.25,2024-08
o300082,u101491,2024-12-18,completed,1195.17,2024-12
o300083,u108540,2023-05-23,completed,638.0,2023-05
o300084,u109929,2024-03-17,completed,4818.88,2024-03
o300085,u116691,2023-10-27,completed,704.99,2023-10
o300086,u112349,2023-05-23,refunded,0.0,2023-05
o300087,u119354,2024-01-09,completed,999.02,2024-01
o300088,u108448,2024-12-03,completed,1411.21,2024-12
o300089,u102198,2023-10-30,completed,2176.01,2023-10
o300090,u105553,2024-12-25,shipped,1379.97,2024-12
o300091,u101290,2024-10-22,completed,739.72,2024-10
o300092,u116984,2023-05-13,completed,488.16,2023-05
o300093,u101350,2023-10-15,completed,7107.69,2023-10
o300094,u117285,2023-02-19,completed,365.12,2023-02
o300095,u114220,2023-06-09,shipped,2655.26,2023-06
o300096,u107663,2024-11-04,completed,2395.02,2024-11
o300097,u102529,2023-07-27,completed,336.41,2023-07
o300098,u112349,2023-12-31,completed,277.92,2023-12
o300099,u113438,2024-10-19,completed,2165.5,2024-10
o300100,u118465,2024-09-26,completed,594.11,2024-09
o300101,u113260,2024-12-23,completed,804.17,2024-12
o300102,u106077,2024-02-11,completed,445.86,2024-02
o300103,u110522,2024-03-13,completed,163.33,2024-03
o300104,u107717,2023-05-13,completed,1788.41,2023-05
o300105,u113186,2023-12-22,completed,1065.75,2023-12
o300106,u111297,2024-12-13,completed,1109.67,2024-12
o300107,u109584,2023-07-08,completed,1758.56,2023-07
o300108,u116035,2024-03-17,completed,6776.78,2024-03
o300109,u103872,2024-12-13,completed,8082.08,2024-12
o300110,u116943,2023-10-14,completed,9478.75,2023-10
o300111,u108364,2023-07-31,completed,162.49,2023-07
o300112,u116834,2023-01-11,completed,658.67,2023-01
o300113,u111166,2024-12-26,completed,959.48,2024-12
o300114,u109386,2024-12-18,completed,4612.15,2024-12
o300115,u101868,2023-09-07,pending,5764.78,2023-09
o300116,u104832,2024-11-28,completed,221.22,2024-11
o300117,u113613,2024-12-30,completed,734.36,2024-12
o300118,u114779,2024-01-13,completed,1384.64,2024-01
o300119,u101205,2024-10-11,completed,7086.06,2024-10
o300120,u108046,2023-09-27,completed,2657.01,2023-09
o300121,u115969,2024-08-28,refunded,0.0,2024-08
o300122,u109377,2024-02-04,completed,1538.01,2024-02
o300123,u112724,2024-09-14,completed,237.63,2024-09
o300124,u103008,2024-10-11,completed,1512.39,2024-10
o300125,u107656,2024-11-02,completed,1775.08,2024-11
o300126,u112171,2024-12-24,completed,22.18,2024-12
o300127,u112909,2023-06-01,shipped,1701.57,2023-06
o300128,u104883,2023-12-13,completed,916.89,2023-12
o300129,u118938,2023-08-16,completed,201.28,2023-08
o300130,u117089,2024-05-12,completed,73.52,2024-05
o300131,u104551,2024-05-08,completed,5554.95,2024-05
o300132,u117524,2024-02-12,completed,47.88,2024-02
o300133,u107013,2024-12-30,completed,425.57,2024-12
o300134,u101063,2024-11-19,completed,1010.7,2024-11
o300135,u108041,2023-05-08,completed,1097.16,2023-05
o300136,u107609,2024-04-14,completed,426.91,2024-04
o300137,u102826,2024-12-16,completed,8165.53,2024-12
o300138,u102503,2023-08-12,completed,2107.76,2023-08
o300139,u107880,2024-06-04,shipped,381.26,2024-06
o300140,u109958,2024-11-23,cancelled,825.05,2024-11
o300141,u101576,2023-05-01,completed,3235.6,2023-05
o300142,u111164,2024-12-06,completed,987.52,2024-12
o300143,u109229,2023-06-02,completed,5058.57,2023-06
o300144,u112590,2024-06-03,completed,149.94,2024-06
o300145,u110116,2024-12-29,completed,59.9,2024-12
o300146,u109060,2024-07-08,completed,2413.35,2024-07
o300147,u112630,2024-12-23,completed,75.2,2024-12
o300148,u110864,2024-12-26,completed,153.72,2024-12
o300149,u113713,2024-05-07,completed,1428.77,2024-05
o300150,u116457,2024-12-27,cancelled,1008.36,2024-12
o300151,u100761,2023-05-06,completed,28.34,2023-05
o300152,u102094,2024-02-23,shipped,2530.12,2024-02
o300153,u111772,2024-12-21,completed,479.68,2024-12
o300154,u112107,2024-07-23,completed,510.42,2024-07
o300155,u113414,2024-11-02,shipped,218.16,2024-11
o300156,u116090,2023-03-02,completed,1486.26,2023-03
o300157,u114923,2024-10-10,shipped,390.51,2024-10
o300158,u112930,2024-12-14,completed,1235.37,2024-12
o300159,u104248,2024-10-17,completed,139.36,2024-10
o300160,u114398,2024-12-29,pending,1023.83,2024-12
o300161,u119373,2024-10-23,completed,10416.91,2024-10
o300162,u114496,2024-01-24,completed,478.12,2024-01
o300163,u115814,2023-11-21,completed,1957.83,2023-11
o300164,u108197,2024-09-21,completed,11283.12,2024-09
o300165,u110207,2023-05-14,cancelled,397.47,2023-05
o300166,u107729,2024-03-29,completed,975.97,2024-03
o300167,u117604,2024-05-12,completed,17208.09,2024-05
o300168,u117995,2024-09-06,completed,410.34,2024-09
o300169,u118004,2023-10-28,completed,140.19,2023-10
o300170,u114449,2024-12-27,refunded,0.0,2024-12
o300171,u102798,2024-12-28,completed,480.78,2024-12
o300172,u110431,2024-09-03,completed,529.84,2024-09
o300173,u105063,2024-10-13,completed,2220.64,2024-10
o300174,u107485,2024-01-15,completed,235.03,2024-01
o300175,u103768,2023-11-23,completed,7311.6,2023-11
o300176,u104880,2023-12-07,completed,3849.11,2023-12
o300177,u112101,2024-04-17,completed,431.81,2024-04
o300178,u108981,2024-12-27,completed,1056.27,2024-12
o300179,u112333,2024-01-17,shipped,2043.99,2024-01
o300180,u100197,2023-12-27,cancelled,2123.96,2023-12
o300181,u105529,2024-02-03,completed,679.19,2024-02
o300182,u107791,2023-10-30,completed,8398.63,2023-10
o300183,u101470,2024-11-06,completed,567.13,2024-11
o300184,u112035,2024-04-15,completed,446.22,2024-04
o300185,u103143,2024-06-07,completed,585.78,2024-06
o300186,u100823,2024-11-01,completed,444.53,2024-11
o300187,u117115,2024-10-02,completed,1604.67,2024-10
o300188,u115650,2024-04-16,completed,1606.77,2024-04
o300189,u119370,2023-02-03,completed,1046.96,2023-02
o300190,u103027,2024-12-22,pending,4523.62,2024-12
o300191,u101527,2023-06-07,completed,1114.59,2023-06
o300192,u116690,2024-12-12,completed,1221.73,2024-12
o300193,u108345,2024-11-14,completed,172.54,2024-11
o300194,u104245,2024-12-10,refunded,0.0,2024-12
o300195,u115775,2024-12-22,completed,805.58,2024-12
o300196,u110963,2023-03-07,completed,1236.98,2023-03
o300197,u116384,2024-05-14,completed,517.3,2024-05
o300198,u117258,2023-03-23,completed,1158.24,2023-03
o300199,u105290,2024-01-25,completed,1498.75,2024-01
o300200,u108214,2023-07-11,completed,232.38,2023-07
o300201,u116155,2024-08-23,completed,515.2,2024-08
o300202,u117852,2024-09-14,completed,4714.09,2024-09
o300203,u119107,2024-08-17,shipped,5206.12,2024-08
o300204,u113144,2023-10-17,completed,3387.06,2023-10
o300205,u102335,2023-11-10,completed,5358.39,2023-11
o300206,u111158,2024-01-16,completed,3738.87,2024-01
o300207,u100722,2023-07-29,shipped,181.67,2023-07
o300208,u104342,2024-05-09,completed,105.42,2024-05
o300209,u104525,2024-10-28,completed,3638.19,2024-10
o300210,u111956,2024-12-02,completed,3977.89,2024-12
o300211,u117203,2023-02-03,completed,446.94,2023-02
o300212,u119889,2023-03-06,completed,2738.89,2023-03
o300213,u104905,2024-09-18,completed,4321.89,2024-09
o300214,u103185,2024-05-30,completed,242.95,2024-05
o300215,u108215,2024-02-20,completed,1114.99,2024-02
o300216,u116773,2024-11-25,shipped,214.96,2024-11
o300217,u103154,2024-06-25,completed,533.17,2024-06
o300218,u119058,2024-08-29,shipped,3103.69,2024-08
o300219,u102674,2024-02-13,completed,8833.08,2024-02
o300220,u112363,2024-01-05,completed,14329.49,2024-01
o300221,u108351,2024-12-29,completed,7316.49,2024-12
o300222,u100735,2024-10-25,shipped,4232.38,2024-10
o300223,u108707,2024-02-07,completed,1231.38,2024-02
o300224,u112417,2024-12-30,cancelled,3027.39,2024-12
o300225,u117814,2023-03-18,completed,323.19,2023-03
o300226,u115046,2024-05-07,completed,3162.34,2024-05
o300227,u111811,2024-12-30,completed,288.04,2024-12
o300228,u103508,2024-12-23,completed,4686.97,2024-12
o300229,u116400,2024-05-27,completed,602.06,2024-05
o300230,u109813,2024-11-01,completed,11718.08,2024-11
o300231,u103910,2024-03-16,completed,922.71,2024-03
o300232,u113142,2024-06-16,refunded,0.0,2024-06
o300233,u117869,2024-09-30,completed,817.08,2024-09
o300234,u113760,2024-03-19,completed,13508.99,2024-03
o300235,u105435,2024-11-24,pending,3373.23,2024-11
o300236,u118285,2024-02-24,completed,12060.27,2024-02
o300237,u103536,2023-09-27,completed,1155.16,2023-09
o300238,u100295,2023-11-20,completed,6628.9,2023-11
o300239,u113517,2024-12-24,cancelled,450.1,2024-12
o300240,u117207,2024-11-16,shipped,711.24,2024-11
o300241,u111600,2024-12-23,completed,5574.29,2024-12
o300242,u103849,2024-12-27,completed,5074.19,2024-12
o300243,u109609,2023-01-18,completed,1814.93,2023-01
o300244,u104906,2023-09-12,shipped,1741.87,2023-09
o300245,u108911,2024-04-04,completed,330.51,2024-04
o300246,u107159,2023-10-01,completed,874.58,2023-10
o300247,u102097,2023-03-19,completed,652.77,2023-03
o300248,u105211,2024-12-27,completed,5305.01,2024-12
o300249,u103912,2024-12-22,completed,1750.94,2024-12
o300250,u110188,2023-09-09,completed,3217.14,2023-09
o300251,u114536,2024-06-25,refunded,0.0,2024-06
o300252,u104271,2024-12-30,completed,927.12,2024-12
o300253,u104512,2024-08-30,shipped,7022.02,2024-08
o300254,u102850,2024-07-30,completed,1754.0,2024-07
o300255,u105781,2024-05-03,completed,938.73,2024-05
o300256,u107062,2023-06-23,completed,2886.42,2023-06
o300257,u107213,2023-06-07,completed,655.44,2023-06
o300258,u109304,2024-12-19,completed,999.69,2024-12
o300259,u104323,2023-11-07,completed,237.32,2023-11
o300260,u117270,2023-12-09,completed,1085.49,2023-12
o300261,u114086,2023-07-05,refunded,0.0,2023-07
o300262,u106158,2024-04-05,shipped,2033.47,2024-04
o300263,u111428,2024-09-20,completed,834.12,2024-09
o300264,u102363,2024-07-29,refunded,0.0,2024-07
o300265,u102668,2023-02-19,completed,2948.05,2023-02
o300266,u104364,2024-06-08,completed,1318.42,2024-06
o300267,u106448,2024-04-28,completed,8582.03,2024-04
o300268,u119510,2023-11-29,completed,8486.14,2023-11
o300269,u117523,2024-10-02,completed,78.08,2024-10
o300270,u107725,2024-12-28,completed,2762.02,2024-12
o300271,u111168,2024-10-26,completed,2851.59,2024-10
o300272,u101644,2023-08-27,completed,404.02,2023-08
o300273,u117539,2024-10-03,completed,1233.55,2024-10
o300274,u111934,2023-07-24,completed,603.13,2023-07
o300275,u113057,2024-08-02,completed,3623.15,2024-08
o300276,u102208,2024-12-29,completed,842.82,2024-12
o300277,u105549,2024-12-30,shipped,794.31,2024-12
o300278,u115611,2024-12-21,completed,315.21,2024-12
o300279,u113459,2024-03-13,completed,2924.45,2024-03
o300280,u102497,2024-10-28,completed,1107.65,2024-10
o300281,u113632,2023-08-15,completed,643.08,2023-08
o300282,u104947,2024-12-27,completed,868.95,2024-12
o300283,u100535,2024-05-28,shipped,11755.18,2024-05
o300284,u110381,2024-08-17,shipped,6896.54,2024-08
o300285,u103632,2024-03-29,shipped,1714.04,2024-03
o300286,u115972,2024-04-24,completed,14388.9,2024-04
o300287,u110152,2024-03-20,completed,1965.07,2024-03
o300288,u108378,2024-06-13,completed,543.11,2024-06
o300289,u110213,2024-12-16,shipped,3685.37,2024-12
o300290,u102646,2024-12-13,completed,16.17,2024-12
o300291,u100732,2024-02-14,completed,103.72,2024-02
o300292,u114541,2023-06-06,completed,8547.88,2023-06
o300293,u119142,2024-05-23,shipped,2084.62,2024-05
o300294,u113392,2023-01-08,completed,285.0,2023-01
o300295,u115393,2024-11-14,completed,949.0,2024-11
o300296,u112196,2023-01-04,completed,606.35,2023-01
o300297,u119844,2023-09-28,completed,3527.85,2023-09
o300298,u110281,2023-07-23,completed,2615.75,2023-07
o300299,u102284,2024-12-19,completed,1205.04,2024-12
o300300,u118643,2024-12-30,completed,4347.36,2024-12
o300301,u102759,2023-07-17,cancelled,2955.01,2023-07
o300302,u114663,2024-08-17,shipped,146.78,2024-08
o300303,u114843,2024-12-08,shipped,394.05,2024-12
o300304,u109517,2024-02-28,completed,873.72,2024-02
o300305,u108287,2023-11-21,completed,2213.56,2023-11
o300306,u114347,2023-12-30,completed,2607.41,2023-12
o300307,u106767,2024-01-31,completed,695.65,2024-01
o300308,u107302,2023-11-23,shipped,460.38,2023-11
o300309,u113676,2023-04-05,completed,204.62,2023-04
o300310,u116263,2024-12-26,completed,540.85,2024-12
o300311,u110371,2024-12-23,completed,8048.41,2024-12
o300312,u119867,2024-12-15,completed,18221.78,2024-12
o300313,u102093,2024-11-21,completed,509.58,2024-11
o300314,u104975,2024-11-14,completed,379.92,2024-11
o300315,u112839,2024-10-28,completed,492.73,2024-10
o300316,u103873,2024-12-15,completed,1980.82,2024-12
o300317,u110611,2023-03-19,completed,321.59,2023-03
o300318,u108586,2024-11-22,completed,742.23,2024-11
o300319,u107967,2024-12-18,completed,4503.69,2024-12
o300320,u115050,2024-10-01,completed,9384.97,2024-10
o300321,u109915,2024-12-14,completed,3423.97,2024-12
o300322,u101603,2024-01-05,completed,6.25,2024-01
o300323,u119795,2024-03-08,completed,124.6,2024-03
o300324,u105941,2024-09-11,completed,1451.7,2024-09
o300325,u112778,2023-07-12,completed,723.77,2023-07
o300326,u119652,2023-09-10,completed,948.27,2023-09
o300327,u111913,2024-12-30,completed,3359.56,2024-12
o300328,u110312,2024-11-28,completed,1786.44,2024-11
o300329,u115362,2023-06-05,completed,2503.71,2023-06
o300330,u101822,2023-06-10,completed,2132.02,2023-06
o300331,u107555,2024-04-05,completed,1007.12,2024-04
o300332,u104742,2024-12-30,cancelled,1705.03,2024-12
o300333,u107183,2024-12-30,completed,678.68,2024-12
o300334,u118779,2024-06-11,completed,5590.32,2024-06
o300335,u102417,2024-05-17,completed,324.72,2024-05
o300336,u104364,2024-08-29,completed,2762.82,2024-08
o300337,u105843,2024-10-08,cancelled,3336.5,2024-10
o300338,u117143,2023-12-02,shipped,368.99,2023-12
o300339,u112511,2023-08-17,refunded,0.0,2023-08
o300340,u103157,2024-12-06,completed,6181.6,2024-12
o300341,u107805,2024-03-01,completed,677.98,2024-03
o300342,u111243,2023-02-26,completed,10359.85,2023-02
o300343,u107867,2024-12-16,completed,3130.03,2024-12
o300344,u113944,2024-11-09,completed,2686.02,2024-11
o300345,u112135,2024-11-04,completed,9172.09,2024-11
o300346,u116120,2024-10-03,completed,620.4,2024-10
o300347,u108279,2024-04-24,completed,3555.99,2024-04
o300348,u103428,2024-12-21,completed,129.24,2024-12
o300349,u109863,2024-03-11,cancelled,567.9,2024-03
o300350,u107377,2023-12-05,completed,117.94,2023-12
o300351,u113035,2024-07-29,completed,2132.57,2024-07
o300352,u110113,2024-06-03,cancelled,3442.69,2024-06
o300353,u104928,2023-02-18,completed,2275.94,2023-02
o300354,u114022,2023-12-25,pending,2372.75,2023-12
o300355,u106057,2024-03-26,completed,230.32,2024-03
o300356,u102835,2024-11-29,completed,3752.44,2024-11
o300357,u102546,2024-04-09,completed,1780.21,2024-04
o300358,u107931,2024-12-28,completed,2121.81,2024-12
o300359,u107818,2024-11-11,completed,1042.41,2024-11
o300360,u112652,2024-12-07,completed,9076.83,2024-12
o300361,u111422,2024-12-22,shipped,14105.53,2024-12
o300362,u117161,2023-09-15,completed,315.13,2023-09
o300363,u103413,2024-12-02,completed,7628.61,2024-12
o300364,u111728,2023-09-12,completed,2132.39,2023-09
o300365,u102410,2024-08-04,completed,227.45,2024-08
o300366,u104325,2024-01-14,refunded,0.0,2024-01
o300367,u115985,2024-06-29,completed,317.1,2024-06
o300368,u101158,2023-10-03,completed,216.1,2023-10
o300369,u104388,2024-12-29,completed,61.28,2024-12
o300370,u107948,2024-10-10,completed,92.48,2024-10
o300371,u106620,2023-11-17,completed,1967.42,2023-11
o300372,u102933,2023-11-01,completed,3296.37,2023-11
o300373,u111266,2023-08-01,completed,886.02,2023-08
o300374,u111046,2024-11-24,cancelled,2842.36,2024-11
o300375,u100905,2024-06-16,completed,483.26,2024-06
o300376,u112054,2024-12-22,completed,147.21,2024-12
o300377,u117155,2023-01-02,completed,373.23,2023-01
o300378,u110143,2024-06-29,completed,189.38,2024-06
o300379,u104497,2024-06-21,completed,4289.94,2024-06
o300380,u104182,2024-12-30,completed,225.75,2024-12
o300381,u118892,2024-11-05,cancelled,2941.92,2024-11
o300382,u100899,2024-07-28,completed,212.61,2024-07
o300383,u104325,2024-08-24,completed,1432.44,2024-08
o300384,u105064,2024-10-25,pending,1966.84,2024-10
o300385,u110925,2024-12-26,completed,1695.01,2024-12
o300386,u106302,2023-04-01,refunded,0.0,2023-04
o300387,u109281,2023-04-01,completed,3671.14,2023-04
o300388,u118353,2023-09-27,completed,26.69,2023-09
o300389,u117743,2024-05-17,completed,9231.77,2024-05
o300390,u104456,2024-02-25,completed,7399.49,2024-02
o300391,u118685,2023-03-16,completed,618.12,2023-03
o300392,u114199,2024-09-04,completed,4198.06,2024-09
o300393,u119137,2024-12-13,completed,4492.35,2024-12
o300394,u115667,2023-03-21,completed,247.3,2023-03
o300395,u116675,2024-07-17,completed,4477.16,2024-07
o300396,u103910,2024-12-30,refunded,0.0,2024-12
o300397,u117806,2023-03-13,completed,56.42,2023-03
o300398,u102376,2024-01-02,completed,3624.46,2024-01
o300399,u115318,2024-05-17,completed,14548.05,2024-05
o300400,u109943,2023-08-20,completed,274.38,2023-08
o300401,u107895,2024-08-05,completed,1280.48,2024-08
o300402,u107049,2024-12-15,completed,180.32,2024-12
o300403,u107206,2024-03-12,completed,32.62,2024-03
o300404,u102543,2023-01-13,completed,766.76,2023-01
o300405,u108096,2024-09-13,completed,115.65,2024-09
o300406,u108070,2024-12-20,shipped,9624.26,2024-12
o300407,u118821,2024-11-29,pending,2764.12,2024-11
o300408,u111754,2024-10-02,completed,929.1,2024-10
o300409,u106523,2024-11-24,completed,756.58,2024-11
o300410,u111975,2024-01-30,completed,181.32,2024-01
o300411,u109679,2024-06-20,completed,1386.79,2024-06
o300412,u111184,2024-03-29,completed,2132.15,2024-03
o300413,u115227,2023-02-27,completed,206.84,2023-02
o300414,u103092,2023-11-11,completed,6381.32,2023-11
o300415,u117262,2024-06-29,completed,28.98,2024-06
o300416,u104386,2024-09-30,completed,59.07,2024-09
o300417,u101659,2023-01-28,completed,2343.47,2023-01
o300418,u111904,2024-12-27,completed,4321.16,2024-12
o300419,u119855,2024-09-03,completed,2348.08,2024-09
o300420,u101566,2024-12-10,completed,1981.69,2024-12
o300421,u119593,2023-09-02,completed,616.23,2023-09
o300422,u114614,2024-09-20,completed,3018.09,2024-09
o300423,u105650,2023-04-24,completed,146.75,2023-04
o300424,u102857,2024-05-26,completed,2134.91,2024-05
o300425,u119165,2024-10-25,shipped,5889.91,2024-10
o300426,u117704,2024-10-08,completed,621.06,2024-10
o300427,u111050,2023-10-29,refunded,0.0,2023-10
o300428,u102257,2023-06-03,completed,3844.13,2023-06
o300429,u115813,2024-03-02,shipped,12068.46,2024-03
o300430,u106603,2024-09-11,shipped,507.94,2024-09
o300431,u108970,2023-05-05,completed,1727.46,2023-05
o300432,u102689,2024-12-11,completed,1196.72,2024-12
o300433,u104187,2024-07-04,completed,2757.24,2024-07
o300434,u113270,2024-12-16,completed,1054.35,2024-12
o300435,u106988,2024-10-02,completed,8403.41,2024-10
o300436,u107019,2024-12-30,completed,101.28,2024-12
o300437,u111731,2024-06-25,completed,1467.0,2024-06
o300438,u105143,2024-11-06,completed,3511.21,2024-11
o300439,u111406,2024-06-24,completed,1701.92,2024-06
o300440,u118644,2023-08-15,completed,24.12,2023-08
o300441,u106246,2023-05-05,completed,1608.61,2023-05
o300442,u102561,2023-10-31,completed,739.74,2023-10
o300443,u107305,2024-08-23,completed,2457.46,2024-08
o300444,u119122,2024-12-10,shipped,1525.64,2024-12
o300445,u110103,2023-07-12,completed,238.6,2023-07
o300446,u104683,2024-12-26,completed,79.41,2024-12
o300447,u103063,2024-06-15,completed,49.98,2024-06
o300448,u112220,2024-07-04,shipped,987.02,2024-07
o300449,u102164,2023-02-14,completed,5044.1,2023-02
o300450,u100706,2024-12-30,completed,1143.43,2024-12
o300451,u116477,2023-03-27,completed,121.02,2023-03
o300452,u111074,2023-12-29,completed,7447.24,2023-12
o300453,u109361,2024-09-23,completed,3609.52,2024-09
o300454,u108674,2024-09-28,completed,2335.6,2024-09
o300455,u107483,2024-05-06,completed,3527.93,2024-05
o300456,u116426,2024-12-18,cancelled,12329.6,2024-12
o300457,u102663,2024-02-10,completed,57.37,2024-02
o300458,u105929,2023-07-28,completed,154.51,2023-07
o300459,u101908,2023-03-01,completed,4190.65,2023-03
o300460,u117976,2023-07-05,completed,14130.7,2023-07
o300461,u100140,2024-12-29,completed,667.08,2024-12
o300462,u109702,2024-01-18,completed,24.31,2024-01
o300463,u115378,2024-10-06,completed,2582.26,2024-10
o300464,u100365,2024-12-30,completed,678.48,2024-12
o300465,u107206,2024-12-21,completed,1876.46,2024-12
o300466,u108048,2024-07-04,completed,667.85,2024-07
o300467,u101102,2023-04-29,completed,4176.58,2023-04
o300468,u106074,2024-11-03,completed,1241.61,2024-11
o300469,u116650,2023-06-29,completed,120.33,2023-06
o300470,u113408,2023-07-20,completed,357.04,2023-07
o300471,u116587,2024-12-20,completed,141.57,2024-12
o300472,u109088,2024-10-11,completed,5486.64,2024-10
o300473,u112693,2024-12-27,completed,744.37,2024-12
o300474,u118229,2024-12-29,completed,732.96,2024-12
o300475,u118066,2024-06-01,completed,5952.57,2024-06
o300476,u103391,2024-10-12,completed,838.96,2024-10
o300477,u100577,2024-10-05,completed,1134.56,2024-10
o300478,u114846,2023-06-05,cancelled,671.26,2023-06
o300479,u105030,2024-09-16,completed,3045.91,2024-09
o300480,u111668,2023-06-02,cancelled,2400.0,2023-06
o300481,u114124,2024-12-15,shipped,1041.28,2024-12
o300482,u115229,2024-12-27,completed,158.92,2024-12
o300483,u118345,2024-04-02,completed,304.62,2024-04
o300484,u119926,2024-10-23,completed,85.32,2024-10
o300485,u109299,2024-10-26,cancelled,1241.79,2024-10
o300486,u118472,2023-03-13,completed,2532.34,2023-03
o300487,u113942,2023-08-07,completed,16.76,2023-08
o300488,u102615,2024-12-21,completed,409.35,2024-12
o300489,u108397,2023-09-18,completed,515.96,2023-09
o300490,u106507,2024-11-18,completed,748.17,2024-11
o300491,u111929,2024-08-31,shipped,196.11,2024-08
o300492,u103790,2024-11-01,completed,13077.34,2024-11
o300493,u116129,2023-07-21,completed,145.04,2023-07
o300494,u119030,2024-12-03,completed,1728.31,2024-12
o300495,u115106,2024-03-12,completed,542.29,2024-03
o300496,u103586,2024-12-30,completed,681.66,2024-12
o300497,u106812,2024-05-10,completed,126.43,2024-05
o300498,u111285,2024-01-26,completed,4014.28,2024-01
o300499,u113502,2023-07-13,completed,1962.79,2023-07
o300500,u108779,2023-04-09,completed,821.65,2023-04
o300501,u114287,2024-12-20,completed,4377.63,2024-12
o300502,u109900,2023-06-17,completed,1245.33,2023-06
